id,player_api_id,player_name,birthday,height,weight,kg_weight,m_height,BMI
4263,37550,Hugo Almeida,1984-05-23 00:00:00.000000 UTC,190.5,214,97.05215419501134,1.905,26.743313753697297
6772,30669,Marcus Hahnemann,1972-06-15 00:00:00.000000 UTC,190.5,220,99.773242630385482,1.905,27.493126288847684
2868,451335,Edmilson Fernandes,1996-04-15 00:00:00.000000 UTC,190.5,154,69.841269841269835,1.905,19.245188402193378
2901,144989,Efe Ambrose,1988-10-18 00:00:00.000000 UTC,190.5,154,69.841269841269835,1.905,19.245188402193378
8840,575789,Reece Oxford,1998-12-16 00:00:00.000000 UTC,190.5,157,71.201814058956913,1.905,19.620094669768577
18,23499,Aaron Wilbraham,1979-10-21 00:00:00.000000 UTC,190.5,159,72.10884353741497,1.905,19.870032181485374
4928,523414,Jhonder Cadiz,1995-07-29 00:00:00.000000 UTC,190.5,161,73.015873015873012,1.905,20.119969693202169
7535,213167,Mike Te Wierik,1992-06-08 00:00:00.000000 UTC,190.5,161,73.015873015873012,1.905,20.119969693202169
761,24336,Andrew O'Brien,1979-06-29 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
8226,23891,Owain Tudor Jones,1984-10-15 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
1727,21914,Chris Robertson,1986-10-11 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
1716,34421,Chris Kirkland,1981-05-02 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
1489,201733,Callum Ball,1992-10-08 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
4600,109897,James Tomkins,1989-03-29 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
7280,94887,Maximilian Haas,1985-12-07 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
8307,109281,Pape M'Bow,1988-05-22 00:00:00.000000 UTC,190.5,163,73.922902494331069,1.905,20.36990720491897
6028,500585,Leandro Pereira,1991-07-13 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
2166,32088,Daniel Seaborne,1987-03-05 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
10717,169906,Vytautas Cerniauskas,1989-03-12 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
6363,620136,Luis Maria Zwick,1994-05-24 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
6611,200743,Marcel Appiah,1988-03-26 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
7750,37986,Mustapha Diallo,1986-05-14 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
8402,244911,Paul McCallum,1993-07-28 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
10043,109621,Steven Nzonzi,1988-12-15 00:00:00.000000 UTC,190.5,165,74.829931972789112,1.905,20.619844716635765
5884,429848,Kornel Osyra,1993-02-07 00:00:00.000000 UTC,190.5,168,76.19047619047619,1.905,20.99475098421096
4255,239599,Houdret,1993-08-09 00:00:00.000000 UTC,190.5,168,76.19047619047619,1.905,20.99475098421096
10113,424879,Sven van Beek,1994-07-28 00:00:00.000000 UTC,190.5,168,76.19047619047619,1.905,20.99475098421096
2548,598355,Denis Zakaria,1996-11-20 00:00:00.000000 UTC,190.5,168,76.19047619047619,1.905,20.99475098421096
8655,463950,Piotr Zemlo,1995-07-10 00:00:00.000000 UTC,190.5,168,76.19047619047619,1.905,20.99475098421096
9663,463301,Sergej Milinkovic-Savic,1995-02-27 00:00:00.000000 UTC,190.5,168,76.19047619047619,1.905,20.99475098421096
